content,platform,time
垃圾更新以后不停的闪退,AppStore,2017-01-0414:29:55
垃圾浪费我钱买这垃圾,AppStore,2017-04-0113:07:12
审核你麻痹,应用宝,2017-10-2913:57:30
付费花钱买这个软件就是为了不看新闻，结果越做越垃圾，都是虚假信息和淘宝购物，垃圾。,AppStore,2017-03-1015:41:25
闪退的垃圾垃圾,AppStore,2017-01-0414:53:00
垃圾头条千万不要买1??元拿去买药吃,AppStore,2017-03-2403:30:49
全是水文，垃圾文lowb看的玩意儿,AppStore,2017-12-1311:43:30
全是水文，垃圾文lowb看的玩意儿,AppStore,2017-12-1311:43:30
闪退闪退闪退进去就闪退，根本不能用,AppStore,2017-01-0610:55:22
离线下载呢？？离线下载呢？？？？？？被狗吃了吗？,AppStore,2017-10-1801:00:44
离线下载呢？？离线下载呢？？？？？？被狗吃了吗？,AppStore,2017-10-1801:00:44
提示发现新功能，点了以后把我的通讯录导走了，这是赤裸裸的欺骗，也太无耻了,豌豆荚,2017-10-2311:08:36
侵权，标题党，广告，垃圾,豌豆荚,2017-10-2102:41:53
用小米音乐听真是防不胜防啊，有点了，那我给你写差评吧,小米应用商店,2017-12-0814:50:35
**的玩意，**,vivo应用商店,2018-01-0813:31:04
****的玩意,vivo应用商店,2018-01-0723:45:47
垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾垃圾广告狗广告狗广告狗??,AppStore,2017-06-0219:46:37
充斥着各种虚假新闻标题,小米应用商店,2017-12-3016:39:16
赶紧把这该死的上划刷新改了,小米应用商店,2017-11-1910:59:08
该死的西瓜视频广告该死的西瓜视频广告,AppStore,2017-07-0512:32:18
更新后广告关不掉，无耻至极,豌豆荚,2017-10-2210:44:57
垃圾垃圾软件视频卡的一笔,AppStore,2017-03-1923:32:48
糟糕,豌豆荚,2017-10-2108:11:43
无脑的文章，糟糕的评论。,豌豆荚,2017-10-2016:15:57
更新换代体验糟糕,小米应用商店,2017-12-1919:07:08
不对不对你,豌豆荚,2017-10-2214:44:50
垃圾，骗人的打开一直无网络,AppStore,2017-01-2401:00:14
新浪微博怎么不好登陆了，成天瞎升级越升越垃圾！,360手机助手,2017-11-2019:41:56
地方频道删不掉什么鬼为什么地方频道明明删掉，还是跟毒瘤一样又出现了,AppStore,2017-12-2920:46:11
地方频道删不掉什么鬼为什么地方频道明明删掉，还是跟毒瘤一样又出现了,AppStore,2017-12-2920:46:11
**，都是些低俗假新闻,vivo应用商店,2017-11-1218:45:15
总推送恶心的蛇和人尿尿,360手机助手,2017-10-1711:36:47
恶心的新闻,豌豆荚,2017-10-2221:40:31
4.9版异常耗电，还有那个恶心的底栏！,豌豆荚,2017-10-2207:29:50
别更新…一只闪退，最恶心的一次……,AppStore,2017-01-0612:40:52
更新了还是有广告烂烂烂,AppStore,2017-09-2007:42:38
问答换了新版打不开了？,360手机助手,2017-11-0311:33:41
打不开了为毛为毛打不开了,AppStore,2017-08-3114:16:31
闪退今天更新完就打不开了，打开3秒就闪退。,AppStore,2017-01-0413:52:29
无聊就看,小米应用商店,2017-12-1419:55:42
这个新版本一直闪退我去这个版本怎么一直闪退呢。要么连不上网要么黑屏搞死人了。看来我要换一个软件了。,AppStore,2017-01-1907:50:22
内容太差，大多是标题党,小米应用商店,2017-11-0413:50:42
iPad适配太差le如题,AppStore,2017-11-0520:02:38
iPad适配太差le如题,AppStore,2017-11-0520:02:38
太多劣质自媒体，广告多，红红的背景很丑。,小米应用商店,2017-10-3018:04:18
垃圾啊浪费钱一星都不想给mlgb,AppStore,2017-08-0715:20:34
界面丑死了，果断卸载了,豌豆荚,2017-10-2215:11:37
一天不看头条就难受,vivo应用商店,2018-01-0115:46:35
每天不刷个3小时浑身难受,小米应用商店,2018-01-0219:56:06
额太可怜了,豌豆荚,2017-10-2217:55:29
改版的头条太垃圾了,小米应用商店,2018-01-0215:38:10
连不上网太垃圾了，买了之后下载了，连不上网,AppStore,2017-02-2120:22:26
太恶心了，,豌豆荚,2017-10-2019:17:30
他妈的，把号给我封了,应用宝,2017-12-3106:42:22
很垃圾、打算做自媒体的朋友千万别选头条、一个月的新手刚过号就被封没有任何理由、帮头条白劳动一个月、草泥马、各位千万别入坑、,小米应用商店,2017-12-2411:59:44
闪退，赶紧修复闪退啊，大哥，体验非常差，而且是高频闪退,AppStore,2017-05-2611:18:57
一点都不好。,豌豆荚,2017-10-2205:07:59
有bug吧，好烦,vivo应用商店,2017-12-2918:29:19
好烦,豌豆荚,2017-10-2009:09:56
真特码垃圾软件，动不动就给你封禁账号,应用宝,2017-11-1311:27:25
他他不阿布踏踏了他阿里它不他5不痛苦邋遢痛苦他图踏踏吧,vivo应用商店,2017-11-3007:38:12
太多地域攻击的人没素质,vivo应用商店,2017-10-2314:30:57
垃圾垃圾中的战斗机，一个东西只是开始好，后来越来越垃圾，推送的新闻内容垃圾到你妈家去，而且越来越低俗,AppStore,2017-08-0900:26:31
今日头条就是垃圾，动不动就封号！,360手机助手,2017-10-1312:13:10
垃圾垃圾中的战斗机，一个东西只是开始好，后来越来越垃圾，推送的新闻内容垃圾到你妈家去,AppStore,2017-07-0709:02:33
更新了闪退什么玩意啊,AppStore,2017-01-0414:54:18
TMDb！从苹果上下载的用了几年了从十一月份至今用QQ登录帐号己被改，反应至今要了我的电话可还是没用！MLB，去死吧！,应用宝,2017-12-0320:57:50
有你不寂寞。,小米应用商店,2017-11-1721:40:10
秒退更新后进去秒退啊，有点崩溃！！！,AppStore,2017-01-0414:06:22
垃圾虚假宣传的太多了新闻头条快变成广告圈了，卖假表的铺天盖地，明不张胆的宣传，头条里的管理者都哪去了？？？我们是看新闻的，不是广告，同时也请记住你们的初心是为了新闻。,AppStore,2017-09-0611:11:04
不看头条睡不着,应用宝,2018-01-0119:20:39
越来越垃圾懒得多说话了，更新一次失望一次,AppStore,2017-07-2301:22:47
我就想知道这跟普通版有什么区别？比丢了一块钱还难受？,AppStore,2017-01-1923:24:25
不好,豌豆荚,2017-10-2314:00:06
每看完一个视频，都要放一遍百万答题能挣钱这个广告真**烦人,vivo应用商店,2018-01-0800:14:25
越来越垃圾广告越来越多，果断卸载！,AppStore,2017-09-1505:43:06
垃圾新闻质量是越来越差，错别字，老旧重复新闻，毫无价值的一大堆，评论区也低俗，,AppStore,2017-03-2212:06:13
一块钱？不值！！！！！！！！,AppStore,2017-01-1804:15:34
为什么看不了评论了要你何用?,小米应用商店,2017-12-1918:23:36
